"","SYMBOL","ENSEMBL","AD_related"
"381","NAT2","ENSG00000156006",TRUE
"382","NCAM2","ENSG00000154654",TRUE
"383","NCAPD2","ENSG00000010292",TRUE
"384","NEDD9","ENSG00000111859",TRUE
"385","NGB","ENSG00000165553",TRUE
"386","NGF","ENSG00000134259",TRUE
"387","NGFR","ENSG00000064300",TRUE
"388","NINJ2","ENSG00000171840",TRUE
"389","NLRC3","ENSG00000167984",TRUE
"390","NLRP1","ENSG00000091592",TRUE
"391","NLRP3","ENSG00000162711",TRUE
"392","NME8","ENSG00000086288",TRUE
"393","NPC2","ENSG00000119655",TRUE
"394","NPHP1","ENSG00000144061",TRUE
"395","NQO1","ENSG00000181019",TRUE
"396","NR1H2","ENSG00000131408",TRUE
"397","NRXN3","ENSG00000021645",TRUE
"398","NTF3","ENSG00000185652",TRUE
"399","NTRK1","ENSG00000198400",TRUE
"400","NUBPL","ENSG00000151413",TRUE
"401","NXPH1","ENSG00000122584",TRUE
"402","OGFRL1","ENSG00000119900",TRUE
"403","OGG1","ENSG00000114026",TRUE
"404","OLR1","ENSG00000173391",TRUE
"405","OTC","ENSG00000036473",TRUE
"406","PAICS","ENSG00000128050",TRUE
"407","PARP1","ENSG00000143799",TRUE
"408","PCDH11X","ENSG00000102290",TRUE
"409","PCED1B","ENSG00000179715",TRUE
"410","PCK1","ENSG00000124253",TRUE
"411","PEMT","ENSG00000133027",TRUE
"412","PGBD1","ENSG00000137338",TRUE
"413","PLA2G3","ENSG00000100078",TRUE
"414","PLA2G4A","ENSG00000116711",TRUE
"415","PLD3","ENSG00000105223",TRUE
"416","PLXNA4","ENSG00000221866",TRUE
"417","PNMT","ENSG00000141744",TRUE
"418","PON1","ENSG00000005421",TRUE
"419","PON2","ENSG00000105854",TRUE
"420","PON3","ENSG00000105852",TRUE
"421","POU2F1","ENSG00000143190",TRUE
"422","PPARA","ENSG00000186951",TRUE
"423","PPARG","ENSG00000132170",TRUE
"424","PPAT","ENSG00000128059",TRUE
"425","PPP1R37","ENSG00000104866",TRUE
"426","PPP1R3B","ENSG00000173281",TRUE
"427","PPP1R3B","ENSG00000285343",TRUE
"428","PPP2R2B","ENSG00000156475",TRUE
"429","PRND","ENSG00000171864",TRUE
"430","PRUNE2","ENSG00000106772",TRUE
"431","RAB7A","ENSG00000075785",TRUE
"432","RBFOX1","ENSG00000078328",TRUE
"433","RCAN1","ENSG00000159200",TRUE
"434","RD3","ENSG00000198570",TRUE
"435","RELN","ENSG00000189056",TRUE
"436","RPH3AL","ENSG00000181031",TRUE
"437","RPH3AL","ENSG00000282013",TRUE
"438","RPH3AL","ENSG00000262334",TRUE
"440","RPS6KB2","ENSG00000175634",TRUE
"441","RUNX1","ENSG00000159216",TRUE
"442","RXRA","ENSG00000186350",TRUE
"443","SAMSN1","ENSG00000155307",TRUE
"444","SDC2","ENSG00000169439",TRUE
"445","SEL1L","ENSG00000071537",TRUE
